timestamp_pc,elapsed_s,raw_bytes_hex
2026-05-17T13:47:58.754,1.240,AA 55 01 01 01 23 01 00 00 04 01 04 00 A5 FF FF FF FF 00 D1
2026-05-17T13:47:59.758,2.244,AA 55 01 01 01 23 01 00 00 04 01 04 00 A5 FF FF FF FF 00 D1
2026-05-17T13:48:00.778,3.264,AA 55 01 01 01 23 01 00 00 04 01 04 00 A5 FF FF FF FF 00 D1
2026-05-17T13:48:01.792,4.278,AA 55 01 01 01 23 01 00 00 04 01 04 00 A5 FF FF FF FF 00 D1
2026-05-17T13:48:02.799,5.285,AA 55 01 01 01 23 01 00 00 04 01 04 00 A5 FF FF FF FF 00 D1
2026-05-17T13:48:03.816,6.302,AA 55 01 01 01 23 01 00 00 04 01 04 00 A5 FF FF FF FF 00 D1
2026-05-17T13:48:04.835,7.320,AA 55 01 01 01 23 01 00 00 04 01 04 00 A5 FF FF FF FF 00 D1
2026-05-17T13:48:05.840,8.326,AA 55 01 01 01 23 01 00 00 04 01 04 00 A5 FF FF FF FF 00 D1
2026-05-17T13:48:06.856,9.341,AA 55 01 01 01 23 01 00 00 04 01 04 00 A5 FF FF FF FF 00 D1
2026-05-17T13:48:07.871,10.357,AA 55 01 01 01 23 01 00 00 04 01 04 00 A5 FF FF FF FF 00 D1
2026-05-17T13:48:08.891,11.376,AA 55 01 01 01 23 01 00 00 04 01 04 00 A5 FF FF FF FF 00 D1
2026-05-17T13:48:09.893,12.379,AA 55 01 01 01 23 01 00 00 04 01 04 00 A5 FF FF FF FF 00 D1
2026-05-17T13:48:10.916,13.401,AA 55 01 01 01 23 01 00 00 04 01 04 00 A5 FF FF FF FF 00 D1
2026-05-17T13:48:11.932,14.418,AA 55 01 01 01 23 01 00 00 04 01 04 00 A5 FF FF FF FF 00 D1
2026-05-17T13:48:12.939,15.424,AA 55 01 01 01 23 01 00 00 04 01 04 00 A5 FF FF FF FF 00 D1
2026-05-17T13:48:13.963,16.448,AA 55 01 01 01 23 01 00 00 04 01 04 00 A5 FF FF FF FF 00 D1 AA 55 01 01 01 23 01 00 00 04 01 04 00 A5 FF FF FF FF 00 D1
2026-05-17T13:48:15.987,18.473,AA 55 01 01 01 23 01 00 00 04 01 04 00 A5 FF FF FF FF 00 D1 AA 55 01 01 01 23 01 00 00 04 01 04 00 A5 FF FF FF FF 00 D1
